review_id,sector,company,review_text,rating,date,review_text_clean,review_length,sentiment_label,year,month
9c9ee2cc-75f7-422c-a577-b257677e0d8e,E-commerce,Leboncoin,j ai oublié mon mot de passe et c est impossible de récupérer mon compte ou d en créer un nouveau.,1,2026-02-21 12:16:05,j ai oublié mon mot de passe et c est impossible de récupérer mon compte ou d en créer un nouveau.,98,0,2026,2
bbf7b919-771a-43e7-a594-b2a26b554b18,E-commerce,Leboncoin,super vendeur sérieux sympa. super transaction. merci je recommande.,5,2026-02-21 12:06:35,super vendeur sérieux sympa. super transaction. merci je recommande.,68,2,2026,2
da39eacc-4e05-4b25-89a4-6dba2c6a22ff,E-commerce,Leboncoin,impossible de me connecter il me demande de créé un compte a chaque fois,1,2026-02-21 11:59:38,impossible de me connecter il me demande de créé un compte a chaque fois,72,0,2026,2
ced90aa8-907b-4fd3-afde-01dd469c0d16,E-commerce,Leboncoin,leboncoin c ma bible,5,2026-02-21 11:15:56,leboncoin c ma bible,20,2,2026,2
1ec01412-d230-49e9-ba55-d8063a7359a1,E-commerce,Leboncoin,j'adore le bon coin depuis plus de 15 ans je vais dessus c’est un incontournable pour tout les occasions,5,2026-02-21 10:20:47,j'adore le bon coin depuis plus de 15 ans je vais dessus c’est un incontournable pour tout les occasions,104,2,2026,2
93bc5bf4-6660-4678-8703-744e91c6eb2b,E-commerce,Leboncoin,"Profil locataire qui fait fuiter des informations, SAV qui ferme les tickets à chaque réponse sans avoir apporté aucune valeur ajoutée, impossible de chercher un appart la catégorie étant rempli de coloc modéré par des robots incapables... on peut continuer de vendre des babioles façons petites annonces mais c'est tout et venant du leader c'est plus que décevant. Pas la peine de demander mon n° de dossier ou je ne sais quoi je n'attends plus rien du support depuis longtemps malheureusement.",1,2026-02-21 10:06:24,"profil locataire qui fait fuiter des informations, sav qui ferme les tickets à chaque réponse sans avoir apporté aucune valeur ajoutée, impossible de chercher un appart la catégorie étant rempli de coloc modéré par des robots incapables... on peut continuer de vendre des babioles façons petites annonces mais c'est tout et venant du leader c'est plus que décevant. pas la peine de demander mon n° de dossier ou je ne sais quoi je n'attends plus rien du support depuis longtemps malheureusement.",495,0,2026,2
1bb67c07-1272-4405-bfca-a19b5c0739d6,E-commerce,Leboncoin,Excellente Application si ce n'est ces publicités récurrentes et inutiles qui sont susceptibles de nous faire louper une bonne affaire. Deux étoiles pour la peine !,2,2026-02-21 09:21:54,excellente application si ce n'est ces publicités récurrentes et inutiles qui sont susceptibles de nous faire louper une bonne affaire. deux étoiles pour la peine !,164,0,2026,2
b0b8a639-cc5a-4447-837a-36aa15cd621c,E-commerce,Leboncoin,Super cite pour faire de bonne affaire😉😉,5,2026-02-21 08:16:14,super cite pour faire de bonne affaire😉😉,40,2,2026,2
d882e3c4-123f-444e-9be5-e31f7b84ccbd,E-commerce,Leboncoin,"les interlocuteurs sont respectueux et bien intentionnés, c'est très agréable, merci à tous, JPK",5,2026-02-21 02:31:25,"les interlocuteurs sont respectueux et bien intentionnés, c'est très agréable, merci à tous, jpk",96,2,2026,2
040724af-0598-4707-aa62-7135d76f8b8b,E-commerce,Leboncoin,depuis quelques jours je n'arrive plus à mettre d'annonce ! je met une annonce et celle ci et supprimer immédiatement sans aucune raison ! merci de régler ça au plus vite,1,2026-02-20 22:49:26,depuis quelques jours je n'arrive plus à mettre d'annonce ! je met une annonce et celle ci et supprimer immédiatement sans aucune raison ! merci de régler ça au plus vite,170,0,2026,2
